geometry,locationdesc,locationdesc,age,geographiclevel,locationdesc,locationdesc,blv_rate,blv_standardized
POINT (-116.25739 46.238066),Lewis County,Lewis County,All ages,County,Lewis County,Lewis County,6.14,1.547717842323651
POINT (-100.405638 31.904324),Coke County,Coke County,All ages,County,Coke County,Coke County,6.14,1.547717842323651
POINT (-83.090886 31.035393),Lanier County,Lanier County,All ages,County,Lanier County,Lanier County,6.12,1.5394190871369293
POINT (-80.71264013499 38.665510202),West Virginia,West Virginia,65-84 years,State,West Virginia,West Virginia,7.78,1.531496062992126
POINT (-100.705316 35.720593),Roberts County,Roberts County,All ages,County,Roberts County,Roberts County,6.09,1.5269709543568462
POINT (-77.396848 37.210514),Petersburg city,Petersburg city,All ages,County,Petersburg city,Petersburg city,6.09,1.5269709543568462
POINT (-100.225433 34.428815),Childress County,Childress County,All ages,County,Childress County,Childress County,6.09,1.5269709543568462
POINT (-68.98503133599 45.254228894),Maine,Maine,0-17 years,State,Maine,Maine,1.14,1.5199999999999998
POINT (-84.348396 37.381612),Rockcastle County,Rockcastle County,All ages,County,Rockcastle County,Rockcastle County,6.07,1.5186721991701244
POINT (-98.175271 39.036065),Lincoln County,Lincoln County,All ages,County,Lincoln County,Lincoln County,6.07,1.5186721991701244
POINT (-88.592895 30.870536),George County,George County,All ages,County,George County,George County,6.06,1.5145228215767632
POINT (-89.287875 31.309039),Forrest County,Forrest County,All ages,County,Forrest County,Forrest County,6.05,1.5103734439834022
POINT (-92.44568007099 31.312660644),Louisiana,Louisiana,65-84 years,State,Louisiana,Louisiana,7.66,1.5078740157480315
POINT (-95.258464 34.883191),Latimer County,Latimer County,All ages,County,Latimer County,Latimer County,6.04,1.5062240663900415
POINT (-106.2405809849 34.520880952),New Mexico,New Mexico,85 years and older,State,New Mexico,New Mexico,23.3,1.5061409179056238
POINT (-100.236102 33.145963),Stonewall County,Stonewall County,All ages,County,Stonewall County,Stonewall County,6.03,1.5020746887966805
POINT (-82.997218 30.501534),Hamilton County,Hamilton County,All ages,County,Hamilton County,Hamilton County,6.03,1.5020746887966805
POINT (-106.2405809849 34.520880952),New Mexico,New Mexico,65-84 years,State,New Mexico,New Mexico,7.62,1.5
POINT (-119.624138 39.389364),Storey County,Storey County,All ages,County,Storey County,Storey County,6.01,1.4937759336099583
POINT (-99.107465 28.845787),Frio County,Frio County,All ages,County,Frio County,Frio County,6.0,1.4896265560165973
POINT (-92.495555 33.591116),Calhoun County,Calhoun County,All ages,County,Calhoun County,Calhoun County,5.96,1.4730290456431534
POINT (-99.308669 32.688185),Shackelford County,Shackelford County,All ages,County,Shackelford County,Shackelford County,5.96,1.4730290456431534
POINT (-84.93663 36.365518),Fentress County,Fentress County,All ages,County,Fentress County,Fentress County,5.96,1.4730290456431534
POINT (-105.448477 37.281779),Costilla County,Costilla County,All ages,County,Costilla County,Costilla County,5.95,1.4688796680497924
POINT (-84.672846 33.008863),Meriwether County,Meriwether County,All ages,County,Meriwether County,Meriwether County,5.95,1.4688796680497924
POINT (-109.4244206449 47.066528972),Montana,Montana,0-17 years,State,Montana,Montana,1.1,1.4666666666666668
POINT (-99.36572062299 41.641040988),Nebraska,Nebraska,0-17 years,State,Nebraska,Nebraska,1.1,1.4666666666666668
POINT (-89.53803082499 32.745510099),Mississippi,Mississippi,0-17 years,State,Mississippi,Mississippi,1.1,1.4666666666666668
POINT (-96.383822 33.977295),Bryan County,Bryan County,All ages,County,Bryan County,Bryan County,5.94,1.4647302904564317
POINT (-92.27449074299 34.748650124),Arkansas,Arkansas,18-39 years,State,Arkansas,Arkansas,1.87,1.4609375
POINT (-91.006351 32.867279),Issaquena County,Issaquena County,All ages,County,Issaquena County,Issaquena County,5.93,1.4605809128630702
POINT (-85.77449091399 35.68094058),Tennessee,Tennessee,40-64 years,State,Tennessee,Tennessee,3.81,1.4597701149425288
POINT (-102.527089 37.368221),Baca County,Baca County,All ages,County,Baca County,Baca County,5.92,1.4564315352697095
POINT (-98.20078122699 38.3477403),Kansas,Kansas,0-17 years,State,Kansas,Kansas,1.09,1.4533333333333334
POINT (-93.080261 32.388898),Bienville Parish,Bienville Parish,All ages,County,Bienville Parish,Bienville Parish,5.91,1.4522821576763485
POINT (-92.527123 33.869213),Dallas County,Dallas County,All ages,County,Dallas County,Dallas County,5.91,1.4522821576763485
POINT (-99.807717 28.757996),Zavala County,Zavala County,All ages,County,Zavala County,Zavala County,5.9,1.4481327800829875
POINT (-94.641301 35.061854),Le Flore County,Le Flore County,All ages,County,Le Flore County,Le Flore County,5.9,1.4481327800829875
POINT (-90.380241 32.82849),Yazoo County,Yazoo County,All ages,County,Yazoo County,Yazoo County,5.88,1.4398340248962653
POINT (-67.06 18.04),Lajas Municipality,Lajas Municipality,All ages,County,Lajas Municipality,Lajas Municipality,5.88,1.4398340248962653
POINT (-87.770355 33.726422),Fayette County,Fayette County,All ages,County,Fayette County,Fayette County,5.87,1.4356846473029046
POINT (-91.908429 36.120217),Izard County,Izard County,All ages,County,Izard County,Izard County,5.86,1.4315352697095436
POINT (-89.117671 32.754204),Neshoba County,Neshoba County,All ages,County,Neshoba County,Neshoba County,5.85,1.4273858921161824
POINT (-97.52107021399 35.472031356),Oklahoma,Oklahoma,85 years and older,State,Oklahoma,Oklahoma,22.02,1.423400129282482
POINT (-85.77449091399 35.68094058),Tennessee,Tennessee,65-84 years,State,Tennessee,Tennessee,7.18,1.4133858267716535
POINT (-85.77449091399 35.68094058),Tennessee,Tennessee,0-17 years,State,Tennessee,Tennessee,1.06,1.4133333333333333
